Object ID,Asset ID,Map Label,Asset Name,Asset Type,Asset Subtype,Quantity,Functional Area ID,Property ID,Facility ID,Floor ID,Geom
8948,152453,Trash Can,Tennis Court 2 Trash Can,Trash Can,,1,833,93,668,,"(37.7570442539, -122.487151813)"
8952,152453,Trash Can,Tennis Court 2 Trash Can,Trash Can,,1,833,93,668,,"(37.7560767658, -122.486463998)"
8957,152453,Trash Can,Tennis Court 2 Trash Can,Trash Can,,1,833,93,668,,"(37.7557970429, -122.486790489)"
18128,146881,Trash Can,Trash Cans,Trash Can,,7,12542,116,12541,,"(37.7759007226, -122.427410203)"
18123,146881,Trash Can,Trash Cans,Trash Can,,7,12542,116,12541,,"(37.7758954904, -122.427450203)"
18124,146881,Trash Can,Trash Cans,Trash Can,,7,12542,116,12541,,"(37.775896383, -122.427442295)"
18125,146881,Trash Can,Trash Cans,Trash Can,,7,12542,116,12541,,"(37.7758970847, -122.427434383)"
18126,146881,Trash Can,Trash Cans,Trash Can,,7,12542,116,12541,,"(37.7758983623, -122.427426244)"
18127,146881,Trash Can,Trash Cans,Trash Can,,7,12542,116,12541,,"(37.775899636, -122.427418346)"
18131,146881,Trash Can,Trash Cans,Trash Can,,7,12542,116,12541,,"(37.7761338871, -122.427772469)"
26533,980545,Lincoln Park CPA Trash Can,CPA Trash Cans,Trash Can,,2,12614,103,10420,,"(37.7819741627, -122.493635357)"
26534,980545,Lincoln Park CPA Trash Can,CPA Trash Cans,Trash Can,,2,12614,103,10420,,"(37.7818450176, -122.493481671)"
28685,980479,Trash Can 5,Trash Can 5,Trash Can,,1,85965,91,85962,,"(37.7504191342, -122.498105487)"
28686,980478,Trash Can 4,Trash Can 4,Trash Can,,1,85965,91,85962,,"(37.7507203682, -122.497721679)"
28687,980477,Trash Can 3,Trash Can 3,Trash Can,,1,85965,91,85962,,"(37.7506739657, -122.498011435)"
28688,980476,Trash Can 2,Trash Can 2,Trash Can,,1,85965,91,85962,,"(37.7508324578, -122.498283276)"
28689,980475,Trash Can 1,Trash Can 1,Trash Can,,1,85965,91,85962,,"(37.7510346141, -122.497794096)"
32079,151203,Trash Can,Skatepark - Trash Cans,Trash Can,,3,12888,164,11748,,"(37.7125672383, -122.429427509)"
32080,151203,Trash Can,Skatepark - Trash Cans,Trash Can,,3,12888,164,11748,,"(37.7125075934, -122.429147052)"
32081,151203,Trash Can,Skatepark - Trash Cans,Trash Can,,3,12888,164,11748,,"(37.7124385924, -122.428803677)"
33959,980756,Trash Can,Trash Can,Trash Can,,4,154817,180,18503,,"(37.731964551, -122.440750579)"
32083,151203,Trash Can,Skatepark - Trash Cans,Trash Can,,3,12888,164,11748,,"(37.7138888229, -122.427690275)"
32089,151203,Trash Can,Skatepark - Trash Cans,Trash Can,,3,12888,164,11748,,"(37.7145099769, -122.429716684)"
32100,151203,Trash Can,Skatepark - Trash Cans,Trash Can,,3,12888,164,11748,,"(37.7137084866, -122.429949406)"
32101,151203,Trash Can,Skatepark - Trash Cans,Trash Can,,3,12888,164,11748,,"(37.7138166269, -122.429901932)"
32106,151203,Trash Can,Skatepark - Trash Cans,Trash Can,,3,12888,164,11748,,"(37.7135393366, -122.427936183)"
32107,151203,Trash Can,Skatepark - Trash Cans,Trash Can,,3,12888,164,11748,,"(37.7136337524, -122.428382867)"
32108,151203,Trash Can,Skatepark - Trash Cans,Trash Can,,3,12888,164,11748,,"(37.7137396391, -122.428888553)"
32109,151200,Turf - Trash Can,Turf - Trash Cans,Trash Can,,4,11901,164,11831,,"(37.7144308377, -122.429050263)"
32110,151200,Trash Can,Turf - Trash Cans,Trash Can,,4,11901,164,11831,,"(37.7140622848, -122.429869637)"
32111,151200,Trash Can,Turf - Trash Cans,Trash Can,,4,11901,164,11831,,"(37.7136311746, -122.430009088)"
32112,151200,Trash Can,Turf - Trash Cans,Trash Can,,4,11901,164,11831,,"(37.7133148041, -122.430145239)"
32123,151203,Trash Can,Skatepark - Trash Cans,Trash Can,,3,12888,164,11748,,"(37.7137707095, -122.427666223)"
32131,151203,Trash Can,Skatepark - Trash Cans,Trash Can,,3,12888,164,11748,,"(37.7141887664, -122.427854297)"
32132,151203,Trash Can,Skatepark - Trash Cans,Trash Can,,3,12888,164,11748,,"(37.714349574, -122.428611571)"
33957,980756,Trash Can,Trash Can,Trash Can,,4,154817,180,18503,,"(37.7319326225, -122.440738966)"
33958,980756,Trash Can,Trash Can,Trash Can,,4,154817,180,18503,,"(37.7316842178, -122.440739625)"
33960,980756,Trash Can,Trash Can,Trash Can,,4,154817,180,18503,,"(37.7317534352, -122.440848421)"
35571,980819,Trash Can,Trash Can,Trash Can,,3,138941,68,36403,,"(37.7422798416, -122.464946448)"
35572,980819,Trash Can,Trash Can,Trash Can,,3,138941,68,36403,,"(37.7418952528, -122.465277601)"
35574,980819,Trash Can,Trash Can,Trash Can,,3,138941,68,36403,,"(37.7418017326, -122.465123879)"
35963,980833,Brooks:  Trash,Trash,Trash Can,,1,1257737,18,34902,,"(37.7178537654, -122.466205538)"
40827,980914,Trash/Recycling,Trash/Recycling Can,Trash Can,,6,57289,19,57288,,"(37.7150508098, -122.458853247)"
40828,980914,Trash/Recycling,Trash/Recycling Can,Trash Can,,6,57289,19,57288,,"(37.7150877805, -122.456252039)"
40829,980914,Trash/Recycling,Trash/Recycling Can,Trash Can,,6,57289,19,57288,,"(37.7150731312, -122.456362339)"
40831,980914,Trash/Recycling,Trash/Recycling Can,Trash Can,,6,57289,19,57288,,"(37.7151396579, -122.456279894)"
41213,980914,Trash/Recycling,Trash/Recycling Can,Trash Can,,6,57289,19,57288,,"(37.7160729012, -122.457444532)"
41215,980914,Trash/Recycling,Trash/Recycling Can,Trash Can,,6,57289,19,57288,,"(37.7151367675, -122.458883876)"
59849,146864,Trash Can,Concrete Pathway Trash Can,Trash Can,,4,12481,113,12480,,"(37.769869522, -122.431975101)"
61858,981230,Trash can,DPA Trash Can,Trash Can,,1,12658,102,11686,,"(37.7875057101, -122.467064395)"
62676,981238,Trash Can,Trash Can 7,Trash Can,,1,12659,102,12655,,"(37.7868731647, -122.470429689)"
