Map Label,Asset Name,Quantity,Lat,Lng
Trash Can,Perennial Bed Trash Cans,1,37.7099250145,-122.398119838
Trash Can,Children's Play Area 2 Trash Cans,3,37.7223315373,-122.414239022
Trash Can,Children's Play Area 2 Trash Cans,3,37.7223158794,-122.414237693
Trash Can,Children's Play Area 2 Trash Cans,3,37.7223455669,-122.414240336
Trash Can,Concrete Pathway Trash Cans,3,37.7217716055,-122.413867853
Trash Can,Concrete Pathway Trash Cans,3,37.7217712854,-122.41385638
Trash Can,Concrete Pathway Trash Cans,3,37.7217272105,-122.413766715
Trash Can,Children's Play Area 1 Trash Cans,1,37.7223669363,-122.412941191
Trash Can,Softball Field 2 Trash Cans,1,37.7235236827,-122.413200354
Trash Can,Stairway Trash Can,1,37.7502978916,-122.468685819
Trash Can,Multi-Use Paved Play Area Trash Can,2,37.7516600757,-122.465185671
Trash Can,Hardscaped Area Trash Can,3,37.7174721055,-122.470148782
Trash Can,Children's Play Area Trash Cans,3,37.8022421691,-122.412442148
